,Unnamed: 0,User Name,Status,Received,Complete,Decision,Type,Sent,grant,GPA,LSAT_x,Last Updated,Year,Law School,match,rank_2018,Tuition,FT Enrollment,Location,threshold,rank_2012,rank_2013,rank_2014,rank_2015,score 2012,score 2013,score 2014,score 2015,score 2009,score 2010,score 2011,rank_2009,rank_2010,rank_2011,rank_2000,rank_2001,rank_2002,rank_2003,rank_2004,rank_2005,rank_2006,rank_2007,rank_2008,rank_1987,rank_1990,rank_1991,rank_1992,rank_1993,rank_1994,rank_1995,rank_1996,rank_1997,rank_1998,rank_1999,Status_Final,Defer,Waitlist,Attend,Withdraw,Part Time,Sent_delta,Decision_delta,Waitlisted,Accepted,Pending,Rejected,ED,SP,grant yes,Attend Reported,Status_Final Reported,unranked,rank_cross,ED_school,ED_cross,SP_school,SP_cross,index,Major,Degree GPA,LSAT 2,LSAT 3,LSAT 1,LSDAS GPA,LSAT,Gender,State,Race2,Years out of Undergrad,group,public,college rank,tuition,groups,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other,Athletic/Varsity,Community/Volunteer,Greek,Leadership,Legal Internship,Legal Work Experience,Military,Non-legal Internship,Non-legal Work Experience,Overseas,Strong Letters,Student Societies,EC at all,national_univ,national_lac,midwest_univ,western_univ,north_univ,hbcu,south_univ,western_college,midwest_college,south_college,eng_nodoctorate,north_college,Female,Male,south,west,northeast,midwest,1-2 Years,3-4 Years,In Undergrad,5-9 Years,10+ Years,white,asian and pacific islander,african,"Mixed, probably not urm",hispanic,mexican,puerto rican,Native American or alaskan,neutral,positive,bad,foreign,bad_school,Gender copy,major sum,stem & others,Ranked Nationally,Ranked Regionally,Described Positively,Described Negatively,Described Neutrally,College types reported,rank_2010_cp,unranked_2010,National top 5,National top 6-20,National top 21-50,National below 51,Law unranked,Law top 14,Law top 15-50,Law below 51,minority
42191,42191,07lawgirl,Rejected  ,2007-01-30,2007-03-05,2007-03-20,,2007-01-30,,3.49,158.0,about 10 years,2006,University of North Carolina Chapel Hill,University of North Carolina Chapel Hill,39.0,"$23,551per year (in-state, full-time); $40,182per year (out-of-state, full-time)",634,"Chapel Hill, NC",U North Carolina,32.0,38.0,31.5,33.0,64.0,62.0,59.0,57.0,56.0,62.0,63.0,39.5,32.0,30.5,22.0,24.5,31.0,29.0,27.5,29.0,29.0,39.5,39.5,,21.0,24.5,,,32.0,32.0,34.0,34.0,26.5,21.5,1,0,0,0,-1,0,151.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,29.0,0.0,0.0,0.0,0.0,55896,communication,3.37,,,158.0,3.49,158.0,0.0,michigan,asian and pacific islander,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0
42192,42192,07lawgirl,Rejected  ,2007-01-26,2007-02-19,2007-04-23,,2007-01-25,,3.49,158.0,about 10 years,2006,University of Wisconsin Madison,University of Wisconsin Madison,30.0,"$21,450per year (in-state, full-time); $40,147per year (out-of-state, full-time)",481,"Madison, WI",U Wisconsin,36.5,36.0,34.0,33.0,62.0,64.0,58.0,57.0,57.0,61.0,63.0,36.5,36.5,30.5,36.0,36.5,27.5,33.0,31.5,33.0,32.5,32.0,36.5,20.0,,21.0,,22.0,37.0,23.0,43.0,38.0,37.5,30.0,1,0,0,0,-1,0,146.0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,32.5,0.0,0.0,0.0,0.0,55896,communication,3.37,,,158.0,3.49,158.0,0.0,michigan,asian and pacific islander,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.5,0.0,,,,,0.0,0.0,1.0,0.0,0.0
42193,42193,07lawgirl,Waitlisted  W,2007-01-26,2007-02-08,2007-03-26,,2007-01-26,,3.49,158.0,about 10 years,2006,Temple University (Beasley),Temple University F,53.0,"$24,786per year (in-state, full-time); $37,500per year (out-of-state, full-time)",534,"Philadelphia, PA",Temple U,63.5,59.5,56.5,62.0,50.0,52.0,47.0,45.0,48.0,48.0,47.0,60.5,67.5,74.5,,,,66.0,60.5,66.5,58.5,62.5,60.5,,,,,,,,,,,,2,0,1,0,1,0,147.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,58.5,0.0,0.0,0.0,0.0,55896,communication,3.37,,,158.0,3.49,158.0,0.0,michigan,asian and pacific islander,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,67.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42194,42194,07lawgirl,Accepted  W,2007-01-16,2007-01-23,2007-01-29,,2007-01-11,,3.49,158.0,about 10 years,2006,Wayne State University,Wayne State University,100.0,"$30,727per year (in-state, full-time); $33,509per year (out-of-state, full-time)",373,"Detroit, MI",Wayne State U,125.0,111.0,106.0,89.5,37.0,38.0,34.0,38.0,,,,,,,,,,98.5,,,,,,,,,,,,,,,,,3,0,0,0,1,0,132.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,0.0,0.0,0.0,0.0,55896,communication,3.37,,,158.0,3.49,158.0,0.0,michigan,asian and pacific islander,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42195,42195,07lawgirl,Accepted  W,2007-02-01,2007-03-01,2007-03-02,,2007-01-31,28500.0,3.49,158.0,about 10 years,2006,University of Detroit Mercy,University of Detroit Mercy,,"$40,532per year (full-time)",453.0,"Detroit, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,1,0,152.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,1.0,,0.0,0.0,1.0,0.0,55896,communication,3.37,,,158.0,3.49,158.0,0.0,michigan,asian and pacific islander,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42196,42196,07lawgirl,Accepted D W,2007-01-25,2007-02-13,2007-05-01,,2007-01-25,2000.0,3.49,158.0,about 10 years,2006,Illinois Institute of Technology (Chicago Kent),Chicago-Kent College of Law (IIT) PT,92.0,"$46,822per year (full-time)",607.0,"Chicago, IL",Illinois Institute of Technology,63.5,63.0,72.0,75.0,50.0,51.0,43.0,42.0,46.0,45.0,45.0,66.5,80.5,82.5,,,,73.0,64.5,66.5,62.0,62.5,66.5,,,,,,,,,,,,3,0,0,0,1,0,146.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,0.0,62.0,1.0,0.0,1.0,0.0,55896,communication,3.37,,,158.0,3.49,158.0,0.0,michigan,asian and pacific islander,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42197,42197,07lawgirl,Accepted  A,2007-01-31,2007-03-14,2007-05-23,,2007-01-31,27000.0,3.49,158.0,about 10 years,2006,Case Western Reserve University,Case Western Reserve University,62.0,"$49,634per year (full-time)",421,"Cleveland, OH",Case Western Reserve U,63.5,67.5,66.0,65.5,50.0,49.0,44.0,44.0,47.0,51.0,51.0,64.0,56.5,57.5,,,,57.5,57.0,50.0,51.5,54.5,64.0,,,,,,,,,,,,3,0,0,1,-1,0,152.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,0.0,51.5,0.0,0.0,0.0,0.0,55896,communication,3.37,,,158.0,3.49,158.0,0.0,michigan,asian and pacific islander,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42220,42220,1Activist,Rejected  ,,2006-12-22,2007-03-05,,2006-12-22,,3.3,158.0,about 10 years,2006,University of Virginia,University of Virginia,8.0,"$56,300per year (in-state, full-time); $59,300per year (out-of-state, full-time)",893,"Charlottesville, VA",U Virginia,9.5,8.0,7.5,8.0,85.0,87.0,85.0,84.0,79.0,80.0,83.0,10.0,11.0,10.0,8.5,7.5,8.5,9.0,9.0,8.5,9.0,10.5,10.0,8.0,10.0,8.0,8.0,8.0,14.0,7.0,9.0,9.0,9.5,7.0,1,0,0,0,-1,0,112.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,9.0,1.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0
42224,42224,1Activist,Waitlisted  W,,2006-12-22,2007-01-25,,2006-12-22,,3.3,158.0,about 10 years,2006,University of Notre Dame,University of Notre Dame,20.0,"$54,297per year (full-time)",599.0,"Notre Dame, IN",U Notre Dame,24.5,22.0,23.5,26.0,67.0,70.0,65.0,62.0,63.0,65.0,67.0,23.0,24.0,23.5,27.0,29.0,24.0,23.0,21.0,24.5,23.5,29.0,23.0,,19.0,24.5,20.0,20.0,26.0,39.0,25.0,20.5,26.5,21.5,2,0,1,0,1,0,112.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,23.5,1.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0
42225,42225,1Activist,Accepted  ,,2006-12-22,2007-01-25,,2006-12-22,,3.3,158.0,about 10 years,2006,Loyola Marymount University,Loyola Law School,65.0,"$52,760per year (full-time)",771.0,"Los Angeles, CA",Loyola Marymount U,54.5,53.0,72.0,89.5,53.0,55.0,43.0,38.0,47.0,47.0,51.0,64.0,72.5,57.5,,,,73.0,60.5,60.0,67.0,67.5,64.0,,,,,,,,,,,,3,0,0,0,-1,0,112.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,67.0,0.0,0.0,0.0,0.0,58214,,3.23,162.0,,158.0,3.3,162.0,0.0,,,,,,,,neutral,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,72.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
